,longitude,latitude,B2,B3,B4,B8,B11,B12,predpH1
35,140.06814879306077,40.283915853763204,642,973,824,2789,2253,1576,6.295773871320498
36,140.06662165707777,40.2861616419735,573,865,760,2781,2130,1243,6.3043363467589835
37,140.05700968353767,40.28705995725762,685,1009,924,3077,2120,1290,6.3714635540909015
38,140.05763850423656,40.28553282127462,670,977,974,2953,2302,1489,6.357048808187778
39,140.0646453634527,40.28984473463839,974,1224,1492,2335,2879,2305,6.613807710404572
40,140.06644199402095,40.289126082411094,580,882,741,2401,2201,1392,6.2407630823475495
41,140.0667114886062,40.2823887177802,400,688,439,3636,1386,748,6.071265255385526
42,140.05754867270815,40.28714978878603,669,988,904,3193,2110,1259,6.3679444246714985
43,140.0840489735897,40.285083663632555,766,1042,1015,2756,1864,1294,6.47378950044116
44,140.0623995752424,40.27394455410948,546,879,681,3716,1921,1119,6.2782780197339365
45,140.08135402773732,40.28310737000749,760,998,1038,2398,2579,1977,6.264097409347015
46,140.06500468956634,40.27313607035377,646,928,869,2603,1806,1102,6.403521204678753
47,140.08144385926573,40.283017538479086,725,979,988,2468,2460,1777,6.259042802941747
48,140.07497598922006,40.27053095602982,615,897,882,2657,1804,1066,6.381771699042517
49,140.06527418415158,40.272956407296945,661,934,878,2812,1871,1142,6.273381854179033
50,140.06958609751536,40.27232758659806,802,1058,1212,2472,1879,1260,6.23253701801837
51,140.0646453634527,40.27205809201283,781,1116,1102,3004,2093,1387,6.472540721893258
52,140.066891151663,40.285802315859854,613,962,828,3182,1909,1075,6.245913480015671
53,140.0631182274697,40.290563386865685,990,1292,1604,2502,2672,1960,6.576758249013769
54,140.05925547174797,40.2928990066044,512,867,553,3892,2039,1263,6.395895496742495
55,140.0615910914867,40.28472433751891,688,1013,965,2909,2310,1442,6.203938183844877
56,140.06060294467417,40.28804810407016,575,913,830,2799,2053,1258,6.335972341253531
57,140.0862947618,40.28741928337127,673,981,894,3022,2227,1419,6.291791069501947
58,140.07704211437354,40.27241741812647,615,918,782,3082,2127,1269,6.36533067967743
59,140.07704211437354,40.27214792354124,609,889,875,2791,1870,1121,6.244598219279449
61,140.07946756564067,40.25463077550091,624,927,729,3065,1858,1122,6.312761546832788
62,140.07919807105543,40.258673194279446,569,860,673,3045,1581,927,6.400989436445978
63,140.06536401568,40.272507249654886,670,1001,905,2805,2018,1227,6.303877842488723
64,140.06347755358334,40.28122090791084,588,908,791,2997,1797,1040,6.51549919619382
65,140.08934903376598,40.28149040249608,870,1038,958,2548,1920,1196,6.361891927119108
66,140.06338772205493,40.28149040249608,643,951,844,2577,2043,1276,6.288979069616391
67,140.0632080589981,40.28184972860973,683,1040,934,3221,2445,1610,6.291605658246429
68,140.0639267112254,40.28211922319496,531,882,601,3397,1696,975,6.187756717396628
69,140.0632080589981,40.28211922319496,697,1030,916,2937,2362,1615,6.410720406307058
