,id,longitude,latitude,time,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,AOT,WVP,SCL,TCI_R,TCI_G,TCI_B,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60
1,20211108T012849_20211108T013450_T54TVK,140.07713194590195,40.278166635944835,2021-11-08,234,506,633,722,1127,1441,1502,1794,1619,1878,1824,1401,96,765,7,74,65,53,0,0,0,0,2048
1,20211108T012849_20211108T013450_T54TVK,140.07767093507243,40.27313607035377,2021-11-08,57,215,411,379,726,1122,1312,1448,1469,1382,1116,755,96,765,4,39,42,23,0,0,0,0,0
1,20211108T012849_20211108T013450_T54TVK,140.0818930169078,40.28526332668938,2021-11-08,424,661,823,896,1345,1661,1810,2002,1936,2231,2068,1465,96,765,10,93,85,66,0,0,0,0,2048
1,20211108T012849_20211108T013450_T54TVK,140.08647442485682,40.287239620314445,2021-11-08,185,378,631,547,999,1564,1722,1922,1856,1881,1541,977,96,765,4,56,65,38,0,0,0,0,2048
1,20211108T012849_20211108T013450_T54TVK,140.06814879306077,40.283915853763204,2021-11-08,50,229,303,460,689,861,949,1080,1254,1469,1265,896,96,765,7,47,31,25,0,0,0,0,0
1,20211108T012849_20211108T013450_T54TVK,140.06662165707777,40.2861616419735,2021-11-08,33,226,441,466,837,1407,1702,1952,1751,1822,1596,966,96,786,4,48,45,22,0,0,0,0,0
1,20211108T012849_20211108T013450_T54TVK,140.05700968353767,40.28705995725762,2021-11-08,78,353,590,609,1068,1804,2078,2048,2291,2325,2008,1244,96,742,4,62,60,35,0,0,0,0,0
1,20211108T012849_20211108T013450_T54TVK,140.05763850423656,40.28553282127462,2021-11-08,270,582,942,1230,1181,1690,2017,2688,2019,2274,2081,1476,96,687,5,125,97,60,0,0,0,0,0
1,20211108T012849_20211108T013450_T54TVK,140.0646453634527,40.28984473463839,2021-11-08,168,336,526,619,1005,1571,1637,1710,2016,1953,1804,1178,96,830,4,64,54,35,0,0,0,0,0
1,20211108T012849_20211108T013450_T54TVK,140.06644199402095,40.289126082411094,2021-11-08,91,265,457,429,898,1360,1652,1642,1805,1743,1595,987,96,765,4,44,47,28,0,0,0,0,0
1,20211108T012849_20211108T013450_T54TVK,140.0667114886062,40.2823887177802,2021-11-08,99,195,350,353,755,1322,1537,1622,1679,1695,1385,866,96,823,4,36,36,20,0,0,0,0,0
1,20211108T012849_20211108T013450_T54TVK,140.05754867270815,40.28714978878603,2021-11-08,68,346,558,594,1118,1745,1998,2216,2224,2213,1967,1218,96,720,4,61,56,37,0,0,0,0,0
1,20211108T012849_20211108T013450_T54TVK,140.0840489735897,40.285083663632555,2021-11-08,384,493,634,731,1040,1326,1451,1616,1555,2138,1808,1271,96,765,10,77,66,50,0,0,0,0,2048
1,20211108T012849_20211108T013450_T54TVK,140.0623995752424,40.27394455410948,2021-11-08,114,310,468,533,963,1505,1683,1738,1889,2263,1667,1072,96,765,4,54,48,32,0,0,0,0,2048
1,20211108T012849_20211108T013450_T54TVK,140.08135402773732,40.28310737000749,2021-11-08,424,404,620,612,934,1548,1719,1908,1840,2302,1363,972,96,765,10,62,62,42,0,0,0,0,2048
1,20211108T012849_20211108T013450_T54TVK,140.06500468956634,40.27313607035377,2021-11-08,111,363,586,610,991,1576,1743,2044,1937,1985,1739,1138,96,715,4,62,60,36,0,0,0,0,2048
1,20211108T012849_20211108T013450_T54TVK,140.08144385926573,40.283017538479086,2021-11-08,424,460,716,711,1100,1638,1832,1938,1948,2302,1579,1083,96,765,10,73,73,47,0,0,0,0,2048
1,20211108T012849_20211108T013450_T54TVK,140.07497598922006,40.27053095602982,2021-11-08,9,341,524,545,896,1377,1615,1816,1730,1595,1349,944,96,908,4,56,54,34,0,0,0,0,0
1,20211108T012849_20211108T013450_T54TVK,140.06527418415158,40.272956407296945,2021-11-08,144,334,659,478,1106,2064,2184,2508,2347,2162,1497,867,96,896,4,49,67,33,0,0,0,0,2048
1,20211108T012849_20211108T013450_T54TVK,140.06958609751536,40.27232758659806,2021-11-08,93,346,485,592,829,1078,1240,1340,1330,1530,1436,1046,96,765,2,61,50,38,0,0,0,0,0
